congress,party,major,state,count
113,D,1.0,AK,1
113,D,1.0,AR,5
113,D,1.0,AZ,3
113,D,1.0,CA,17
113,D,1.0,CO,6
113,D,1.0,CT,6
113,D,1.0,DC,4
113,D,1.0,DE,6
113,D,1.0,FL,24
113,D,1.0,GA,4
113,D,1.0,HI,1
113,D,1.0,IA,2
113,D,1.0,IL,10
113,D,1.0,MA,1
113,D,1.0,MD,8
113,D,1.0,ME,2
113,D,1.0,MI,10
113,D,1.0,MN,7
113,D,1.0,NC,1
113,D,1.0,NH,2
113,D,1.0,NJ,5
113,D,1.0,NM,5
113,D,1.0,NV,4
113,D,1.0,NY,20
113,D,1.0,OH,4
113,D,1.0,OR,6
113,D,1.0,PA,10
113,D,1.0,RI,9
113,D,1.0,TN,4
113,D,1.0,TX,10
113,D,1.0,UT,1
113,D,1.0,VA,4
113,D,1.0,VT,1
113,D,1.0,WA,14
113,D,1.0,WI,2
113,D,1.0,WV,3
113,D,2.0,AR,2
113,D,2.0,CA,18
113,D,2.0,CO,4
113,D,2.0,CT,5
113,D,2.0,DC,3
113,D,2.0,DE,3
113,D,2.0,FL,4
113,D,2.0,GA,4
113,D,2.0,HI,2
113,D,2.0,IA,2
113,D,2.0,LA,1
113,D,2.0,MA,5
113,D,2.0,MD,7
113,D,2.0,MI,6
113,D,2.0,MN,7
113,D,2.0,MO,2
113,D,2.0,NH,4
113,D,2.0,NJ,7
113,D,2.0,NV,1
113,D,2.0,NY,17
113,D,2.0,OH,1
113,D,2.0,OR,3
113,D,2.0,PA,6
113,D,2.0,TN,4
113,D,2.0,TX,3
113,D,2.0,UT,1
113,D,2.0,VA,4
113,D,2.0,VT,6
113,D,2.0,WA,9
113,D,2.0,WI,5
113,D,2.0,WV,2
113,D,3.0,AK,11
113,D,3.0,AR,3
113,D,3.0,AS,1
113,D,3.0,AZ,14
113,D,3.0,CA,65
113,D,3.0,CO,12
113,D,3.0,CT,20
113,D,3.0,DC,2
113,D,3.0,DE,3
113,D,3.0,FL,21
113,D,3.0,GA,7
113,D,3.0,HI,6
113,D,3.0,IA,12
113,D,3.0,IL,27
113,D,3.0,IN,2
113,D,3.0,LA,5
113,D,3.0,MA,17
113,D,3.0,MD,15
113,D,3.0,ME,4
113,D,3.0,MI,9
113,D,3.0,MN,25
113,D,3.0,MO,6
113,D,3.0,MT,13
113,D,3.0,NC,2
113,D,3.0,ND,1
113,D,3.0,NH,14
113,D,3.0,NJ,35
113,D,3.0,NM,7
113,D,3.0,NV,1
113,D,3.0,NY,46
113,D,3.0,OH,18
113,D,3.0,OR,22
113,D,3.0,PA,28
113,D,3.0,PR,2
113,D,3.0,RI,12
113,D,3.0,SD,2
113,D,3.0,TN,3
113,D,3.0,TX,17
113,D,3.0,UT,4
113,D,3.0,VA,5
113,D,3.0,VI,2
113,D,3.0,VT,5
113,D,3.0,WA,21
113,D,3.0,WI,7
113,D,3.0,WV,13
113,D,4.0,AK,5
113,D,4.0,AR,3
113,D,4.0,CA,11
113,D,4.0,CO,1
113,D,4.0,CT,4
113,D,4.0,IA,4
113,D,4.0,IL,1
113,D,4.0,IN,1
113,D,4.0,LA,1
113,D,4.0,MA,4
113,D,4.0,MD,1
113,D,4.0,ME,1
113,D,4.0,MI,2
113,D,4.0,MN,3
113,D,4.0,MO,2
113,D,4.0,MT,2
113,D,4.0,NH,2
113,D,4.0,NJ,2
113,D,4.0,NM,1
113,D,4.0,NV,1
113,D,4.0,NY,19
113,D,4.0,OH,4
113,D,4.0,OR,2
113,D,4.0,PA,3
113,D,4.0,RI,1
113,D,4.0,UT,2
113,D,4.0,VA,1
113,D,4.0,VT,3
113,D,4.0,WA,2
113,D,4.0,WI,3
113,D,4.0,WV,2
113,D,5.0,AL,1
113,D,5.0,AZ,1
113,D,5.0,CA,23
113,D,5.0,CO,3
113,D,5.0,CT,11
113,D,5.0,DC,2
113,D,5.0,DE,3
113,D,5.0,FL,14
113,D,5.0,GA,2
113,D,5.0,IA,10
113,D,5.0,IL,9
113,D,5.0,IN,2
113,D,5.0,LA,1
113,D,5.0,MA,7
113,D,5.0,MD,6
113,D,5.0,MI,10
113,D,5.0,MN,2
113,D,5.0,MO,1
113,D,5.0,MT,1
113,D,5.0,NC,1
113,D,5.0,NH,4
113,D,5.0,NJ,11
113,D,5.0,NM,4
113,D,5.0,NV,2
113,D,5.0,NY,23
113,D,5.0,OH,3
113,D,5.0,OR,6
113,D,5.0,PA,9
113,D,5.0,RI,13
113,D,5.0,TN,2
113,D,5.0,TX,9
113,D,5.0,VA,2
113,D,5.0,VT,1
113,D,5.0,WA,5
113,D,5.0,WI,3
113,D,5.0,WV,5
113,D,6.0,AK,6
113,D,6.0,AZ,8
113,D,6.0,CA,63
113,D,6.0,CO,16
113,D,6.0,CT,14
113,D,6.0,DC,1
113,D,6.0,DE,5
113,D,6.0,FL,16
113,D,6.0,GA,5
113,D,6.0,HI,7
113,D,6.0,IA,18
113,D,6.0,IL,20
113,D,6.0,IN,2
113,D,6.0,KY,2
113,D,6.0,LA,9
113,D,6.0,MA,8
113,D,6.0,MD,12
113,D,6.0,ME,3
113,D,6.0,MI,4
113,D,6.0,MN,11
113,D,6.0,MO,1
113,D,6.0,MP,1
113,D,6.0,MT,4
113,D,6.0,NC,11
113,D,6.0,NH,5
113,D,6.0,NJ,17
113,D,6.0,NM,6
113,D,6.0,NV,5
113,D,6.0,NY,35
113,D,6.0,OH,11
113,D,6.0,OR,10
113,D,6.0,PA,16
113,D,6.0,RI,19
113,D,6.0,TN,4
113,D,6.0,TX,13
113,D,6.0,VA,10
113,D,6.0,VT,1
113,D,6.0,WA,12
113,D,6.0,WI,9
113,D,6.0,WV,4
113,D,7.0,AK,3
113,D,7.0,AR,5
113,D,7.0,AZ,1
113,D,7.0,CA,31
113,D,7.0,CO,3
113,D,7.0,CT,4
113,D,7.0,DE,1
113,D,7.0,FL,10
113,D,7.0,GU,1
113,D,7.0,HI,2
113,D,7.0,IA,2
113,D,7.0,IL,2
113,D,7.0,MA,2
113,D,7.0,MD,8
113,D,7.0,ME,2
113,D,7.0,MI,4
113,D,7.0,MN,3
113,D,7.0,MP,1
113,D,7.0,MT,2
113,D,7.0,NC,9
113,D,7.0,ND,1
113,D,7.0,NH,3
113,D,7.0,NJ,13
113,D,7.0,NM,8
113,D,7.0,NV,4
113,D,7.0,NY,14
113,D,7.0,OH,5
113,D,7.0,OR,9
113,D,7.0,PA,1
113,D,7.0,PR,1
113,D,7.0,RI,7
113,D,7.0,SD,1
113,D,7.0,TN,1
113,D,7.0,TX,3
113,D,7.0,UT,1
113,D,7.0,VA,4
113,D,7.0,WA,4
113,D,7.0,WI,3
113,D,7.0,WV,5
113,D,8.0,AK,7
113,D,8.0,AR,3
113,D,8.0,AZ,1
113,D,8.0,CA,30
113,D,8.0,CO,13
113,D,8.0,CT,8
113,D,8.0,DE,5
113,D,8.0,FL,6
113,D,8.0,HI,3
113,D,8.0,IA,3
113,D,8.0,IL,1
113,D,8.0,IN,1
113,D,8.0,KY,1
113,D,8.0,LA,3
113,D,8.0,MA,16
113,D,8.0,MD,2
113,D,8.0,ME,1
113,D,8.0,MI,4
113,D,8.0,MN,10
113,D,8.0,MO,1
113,D,8.0,MT,2
113,D,8.0,NH,7
113,D,8.0,NJ,10
113,D,8.0,NM,4
113,D,8.0,NY,21
113,D,8.0,OH,1
113,D,8.0,OR,12
113,D,8.0,PA,8
113,D,8.0,RI,1
113,D,8.0,TX,3
113,D,8.0,VA,5
113,D,8.0,VT,9
113,D,8.0,WA,4
113,D,8.0,WI,3
113,D,8.0,WV,1
113,D,9.0,AK,1
113,D,9.0,AS,1
113,D,9.0,AZ,2
113,D,9.0,CA,15
113,D,9.0,CO,2
113,D,9.0,FL,2
113,D,9.0,GA,1
113,D,9.0,HI,5
113,D,9.0,IL,3
113,D,9.0,MA,1
113,D,9.0,MD,1
113,D,9.0,MI,3
113,D,9.0,MN,2
113,D,9.0,NH,5
113,D,9.0,NJ,2
113,D,9.0,NM,1
113,D,9.0,NV,1
113,D,9.0,NY,10
113,D,9.0,OH,1
113,D,9.0,OR,4
113,D,9.0,RI,1
113,D,9.0,TX,6
113,D,9.0,VI,1
113,D,9.0,VT,2
113,D,9.0,WA,1
113,D,10.0,AK,7
113,D,10.0,AR,1
113,D,10.0,CA,23
113,D,10.0,CO,3
113,D,10.0,CT,4
113,D,10.0,DC,2
113,D,10.0,DE,1
113,D,10.0,FL,4
113,D,10.0,HI,3
113,D,10.0,IA,2
113,D,10.0,IL,6
113,D,10.0,LA,2
113,D,10.0,MA,7
113,D,10.0,MD,3
113,D,10.0,ME,3
113,D,10.0,MI,1
113,D,10.0,MN,9
113,D,10.0,MO,2
113,D,10.0,MS,4
113,D,10.0,MT,2
113,D,10.0,NC,4
113,D,10.0,ND,1
113,D,10.0,NH,4
113,D,10.0,NJ,10
113,D,10.0,NV,1
113,D,10.0,NY,22
113,D,10.0,OH,5
113,D,10.0,OR,6
113,D,10.0,PA,4
113,D,10.0,PR,1
113,D,10.0,RI,2
113,D,10.0,TN,3
113,D,10.0,TX,7
113,D,10.0,VA,3
113,D,10.0,VT,1
113,D,10.0,WA,2
113,D,10.0,WI,2
113,D,10.0,WV,9
113,D,12.0,AK,3
113,D,12.0,AR,1
113,D,12.0,CA,56
113,D,12.0,CO,2
113,D,12.0,CT,20
113,D,12.0,DE,2
113,D,12.0,FL,11
113,D,12.0,GA,7
113,D,12.0,HI,1
113,D,12.0,IA,3
