,api_uri,at_large,contact_form,crp_id,cspan_id,date_of_birth,district,dw_nominate,facebook_account,fax,fec_candidate_id,first_name,gender,geoid,google_entity_id,govtrack_id,icpsr_id,id,ideal_point,in_office,last_name,last_updated,leadership_role,middle_name,missed_votes,missed_votes_pct,next_election,ocd_id,office,party,phone,rss_url,seniority,short_title,state,suffix,title,total_present,total_votes,twitter_account,url,votes_with_party_pct,votesmart_id,youtube_account
0,https://api.propublica.org/congress/v1/members/A000374.json,False,,N00036633,76236,1954-09-16,5,0.507,CongressmanRalphAbraham,202-225-5639,H4LA05221,Ralph,M,2205,/m/012dwd7_,412630,21522,A000374,,True,Abraham,2018-11-18 05:00:23 -0500,,,8.0,0.71,2018,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,R,202-225-8490,https://abraham.house.gov/rss.xml,4,Rep.,LA,,Representative,0.0,1132.0,RepAbraham,https://abraham.house.gov,96.89,155414,
1,https://api.propublica.org/congress/v1/members/A000370.json,False,,N00035451,76386,1946-05-27,12,-0.47,CongresswomanAdams,202-225-1512,H4NC12100,Alma,F,3712,/m/02b45d,412607,21545,A000370,,True,Adams,2018-11-18 05:00:23 -0500,,,32.0,2.83,2018,ocd-division/country:us/state:nc/cd:12,222 Cannon House Office Building,D,202-225-1510,https://adams.house.gov/rss.xml,6,Rep.,NC,,Representative,2.0,1132.0,RepAdams,https://adams.house.gov,95.73,5935,
2,https://api.propublica.org/congress/v1/members/A000055.json,False,,N00003028,45516,1965-07-22,4,0.361,RobertAderholt,202-225-5587,H6AL04098,Robert,M,0104,/m/024p03,400004,29701,A000055,,True,Aderholt,2018-11-18 05:00:23 -0500,,B.,45.0,3.98,2018,ocd-division/country:us/state:al/cd:4,235 Cannon House Office Building,R,202-225-4876,https://aderholt.house.gov/rss.xml,22,Rep.,AL,,Representative,0.0,1132.0,Robert_Aderholt,https://aderholt.house.gov,96.78,441,RobertAderholt
3,https://api.propublica.org/congress/v1/members/A000371.json,False,,N00033997,79994,1979-06-19,31,-0.284,reppeteaguilar,202-226-6962,H2CA31125,Pete,M,0631,/m/0jwv0xf,412615,21506,A000371,,True,Aguilar,2018-11-18 05:00:21 -0500,,,14.0,1.24,2018,ocd-division/country:us/state:ca/cd:31,1223 Longworth House Office Building,D,202-225-3201,https://aguilar.house.gov/rss.xml,4,Rep.,CA,,Representative,2.0,1132.0,reppeteaguilar,https://aguilar.house.gov,92.04,70114,
4,https://api.propublica.org/congress/v1/members/A000372.json,False,,N00033720,62545,1951-11-07,12,0.617,CongressmanRickAllen,202-225-3377,H2GA12121,Rick,M,1312,/m/0127y9dk,412625,21516,A000372,,True,Allen,2018-11-18 05:00:24 -0500,,,12.0,1.06,2018,ocd-division/country:us/state:ga/cd:12,426 Cannon House Office Building,R,202-225-2823,,4,Rep.,GA,,Representative,0.0,1132.0,reprickallen,https://allen.house.gov,97.77,136062,
5,https://api.propublica.org/congress/v1/members/A000367.json,False,,N00031938,1033767,1980-04-18,3,0.647,repjustinamash,202-225-5144,H0MI03126,Justin,M,2603,/m/0c00p_n,412438,21143,A000367,,True,Amash,2018-11-18 05:00:20 -0500,,,1.0,0.09,2018,ocd-division/country:us/state:mi/cd:3,114 Cannon House Office Building,R,202-225-3831,https://amash.house.gov/rss.xml,8,Rep.,MI,,Representative,2.0,1132.0,amashoffice,https://amash.house.gov,67.99,105566,repjustinamash
6,https://api.propublica.org/congress/v1/members/A000369.json,False,,N00031177,62817,1958-06-12,2,0.375,MarkAmodeiNV2,202-225-5679,H2NV02395,Mark,M,3202,/m/03bzdkn,412500,21196,A000369,,True,Amodei,2018-11-18 05:00:23 -0500,,,32.0,2.83,2018,ocd-division/country:us/state:nv/cd:2,332 Cannon House Office Building,R,202-225-6155,https://amodei.house.gov/rss/news-releases.xml,8,Rep.,NV,,Representative,2.0,1132.0,MarkAmodeiNV2,https://amodei.house.gov,95.55,12537,markamodeinv2
7,https://api.propublica.org/congress/v1/members/A000375.json,False,,N00038285,1016482,1972-03-09,19,0.557,JodeyArrington,,H6TX19099,Jodey,M,4819,/m/0g9_f_1,412726,21700,A000375,,True,Arrington,2018-11-18 05:00:24 -0500,,,12.0,1.06,2018,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,R,202-225-4005,https://arrington.house.gov/rss.xml,2,Rep.,TX,,Representative,0.0,1132.0,RepArrington,https://arrington.house.gov,98.48,155685,
8,https://api.propublica.org/congress/v1/members/B001291.json,False,,N00005736,44883,1948-03-23,36,0.701,RepBrianBabin,202-226-0396,H6TX02079,Brian,M,4836,/m/010qgj35,412655,21551,B001291,,True,Babin,2018-11-18 05:00:23 -0500,,,19.0,1.68,2018,ocd-division/country:us/state:tx/cd:36,316 Cannon House Office Building,R,202-225-1555,,4,Rep.,TX,,Representative,0.0,1132.0,RepBrianBabin,https://babin.house.gov,95.42,360,
9,https://api.propublica.org/congress/v1/members/B001298.json,False,,N00037049,103442,1963-08-16,2,0.436,,,H6NE02125,Don,M,3102,/m/01311t71,412713,21701,B001298,,True,Bacon,2018-11-18 05:00:23 -0500,,,1.0,0.09,2018,ocd-division/country:us/state:ne/cd:2,1516 Longworth House Office Building,R,202-225-4155,https://bacon.house.gov/rss.xml,2,Rep.,NE,,Representative,0.0,1132.0,RepDonBacon,https://bacon.house.gov,95.93,166299,
10,https://api.propublica.org/congress/v1/members/B001306.json,False,,,,1962-01-16,12,,,,,Troy,M,3912,/m/09ry4tm,412747,,B001306,,True,Balderson,2018-11-18 05:00:24 -0500,,,0.0,0.0,,ocd-division/country:us/state:oh/cd:12,,R,,,2,Rep.,OH,,Representative,0.0,36.0,RepBalderson,https://balderson.house.gov/,100.0,,
11,https://api.propublica.org/congress/v1/members/B001299.json,False,,N00037185,89806,1979-07-16,3,0.678,RepJimBanks,,H6IN03229,Jim,M,1803,/m/0j621nj,412702,21702,B001299,,True,Banks,2018-11-18 05:00:23 -0500,,,5.0,0.44,2018,ocd-division/country:us/state:in/cd:3,509 Cannon House Office Building,R,202-225-4436,,2,Rep.,IN,,Representative,0.0,1132.0,RepJimBanks,https://banks.house.gov,96.63,116801,
12,https://api.propublica.org/congress/v1/members/B001269.json,False,,N00025495,29618,1956-01-28,11,0.278,CongressmanLouBarletta,202-225-0764,H2PA11098,Lou,M,4211,/m/03wcvjl,412469,21171,B001269,,True,Barletta,2018-11-18 05:00:23 -0500,,,97.0,8.57,2018,ocd-division/country:us/state:pa/cd:11,2049 Rayburn House Office Building,R,202-225-6511,https://barletta.house.gov/rss.xml,8,Rep.,PA,,Representative,0.0,1132.0,RepLouBarletta,https://barletta.house.gov,94.98,47143,reploubarletta
13,https://api.propublica.org/congress/v1/members/B001282.json,False,,N00031233,61848,1973-07-24,6,0.486,RepAndyBarr,,H0KY06104,Andy,M,2106,/m/0ddc6r6,412541,21333,B001282,,True,Barr,2018-11-18 05:00:23 -0500,,,20.0,1.77,2018,ocd-division/country:us/state:ky/cd:6,1427 Longworth House Office Building,R,202-225-4706,https://barr.house.gov/rss.xml,6,Rep.,KY,,Representative,0.0,1132.0,RepAndyBarr,https://barr.house.gov,96.58,117290,RepAndyBarr
