id,first_name,last_name,middle_name,party,state,title,url,in_office,chamber
A000360,Lamar,Alexander,,R,TN,"Senator, 2nd Class",https://www.alexander.senate.gov/public,True,s
B001230,Tammy,Baldwin,,D,WI,"Senator, 1st Class",https://www.baldwin.senate.gov,True,s
B001261,John,Barrasso,,R,WY,"Senator, 1st Class",https://www.barrasso.senate.gov,True,s
B001267,Michael,Bennet,,D,CO,"Senator, 3rd Class",https://www.bennet.senate.gov,True,s
B001277,Richard,Blumenthal,,D,CT,"Senator, 3rd Class",https://www.blumenthal.senate.gov,True,s
B000575,Roy,Blunt,,R,MO,"Senator, 3rd Class",https://www.blunt.senate.gov/public,True,s
B001288,Cory,Booker,,D,NJ,"Senator, 2nd Class",https://www.booker.senate.gov,True,s
B001236,John,Boozman,,R,AR,"Senator, 3rd Class",https://www.boozman.senate.gov/public,True,s
B000944,Sherrod,Brown,,D,OH,"Senator, 1st Class",https://www.brown.senate.gov,True,s
B001135,Richard,Burr,M.,R,NC,"Senator, 3rd Class",https://www.burr.senate.gov,True,s
C000127,Maria,Cantwell,,D,WA,"Senator, 1st Class",https://www.cantwell.senate.gov,True,s
C001047,Shelley,Capito,Moore,R,WV,"Senator, 2nd Class",https://www.capito.senate.gov,True,s
C000141,Benjamin,Cardin,L.,D,MD,"Senator, 1st Class",https://www.cardin.senate.gov,True,s
C000174,Thomas,Carper,R.,D,DE,"Senator, 1st Class",https://www.carper.senate.gov/public,True,s
C001070,Bob,Casey,,D,PA,"Senator, 1st Class",https://www.casey.senate.gov,True,s
C001075,Bill,Cassidy,,R,LA,"Senator, 2nd Class",https://www.cassidy.senate.gov,True,s
C000567,Thad,Cochran,,R,MS,"Senator, 2nd Class",https://www.cochran.senate.gov,False,s
C001035,Susan,Collins,,R,ME,"Senator, 2nd Class",https://www.collins.senate.gov,True,s
C001088,Christopher,Coons,A.,D,DE,"Senator, 2nd Class",https://www.coons.senate.gov,True,s
C001071,Bob,Corker,,R,TN,"Senator, 1st Class",https://www.corker.senate.gov,True,s
C001056,John,Cornyn,,R,TX,"Senator, 2nd Class",https://www.cornyn.senate.gov,True,s
C001113,Catherine,Cortez Masto,,D,NV,"Senator, 3rd Class",https://www.cortezmasto.senate.gov,True,s
C001095,Tom,Cotton,,R,AR,"Senator, 2nd Class",https://www.cotton.senate.gov,True,s
C000880,Michael,Crapo,D.,R,ID,"Senator, 3rd Class",https://www.crapo.senate.gov,True,s
C001098,Ted,Cruz,,R,TX,"Senator, 1st Class",https://www.cruz.senate.gov,True,s
D000618,Steve,Daines,,R,MT,"Senator, 2nd Class",https://www.daines.senate.gov,True,s
D000607,Joe,Donnelly,,D,IN,"Senator, 1st Class",https://www.donnelly.senate.gov,True,s
D000622,Tammy,Duckworth,,D,IL,"Senator, 3rd Class",https://www.duckworth.senate.gov,True,s
D000563,Richard,Durbin,J.,D,IL,"Senator, 2nd Class",https://www.durbin.senate.gov,True,s
E000285,Michael,Enzi,B.,R,WY,"Senator, 2nd Class",https://www.enzi.senate.gov,True,s
E000295,Joni,Ernst,,R,IA,"Senator, 2nd Class",https://www.ernst.senate.gov/public,True,s
F000062,Dianne,Feinstein,,D,CA,"Senator, 1st Class",https://www.feinstein.senate.gov,True,s
F000463,Deb,Fischer,,R,NE,"Senator, 1st Class",https://www.fischer.senate.gov,True,s
F000444,Jeff,Flake,,R,AZ,"Senator, 1st Class",https://www.flake.senate.gov/public,True,s
F000457,Al,Franken,,D,MN,"Senator, 2nd Class",https://www.franken.senate.gov/,False,s
G000562,Cory,Gardner,,R,CO,"Senator, 2nd Class",https://www.gardner.senate.gov,True,s
G000555,Kirsten,Gillibrand,E.,D,NY,"Senator, 1st Class",https://www.gillibrand.senate.gov,True,s
G000359,Lindsey,Graham,,R,SC,"Senator, 2nd Class",https://www.lgraham.senate.gov/public,True,s
G000386,Charles,Grassley,E.,R,IA,"Senator, 3rd Class",https://www.grassley.senate.gov,True,s
H001075,Kamala,Harris,,D,CA,"Senator, 3rd Class",https://www.harris.senate.gov,True,s
H001076,Margaret,Hassan,,D,NH,"Senator, 3rd Class",https://www.hassan.senate.gov,True,s
H000338,Orrin,Hatch,G.,R,UT,"Senator, 1st Class",https://www.hatch.senate.gov,True,s
H001046,Martin,Heinrich,,D,NM,"Senator, 1st Class",https://www.heinrich.senate.gov,True,s
H001069,Heidi,Heitkamp,,D,ND,"Senator, 1st Class",https://www.heitkamp.senate.gov/public,True,s
H001041,Dean,Heller,,R,NV,"Senator, 1st Class",https://www.heller.senate.gov/public,True,s
H001042,Mazie,Hirono,K.,D,HI,"Senator, 1st Class",https://www.hirono.senate.gov,True,s
H001061,John,Hoeven,,R,ND,"Senator, 3rd Class",https://www.hoeven.senate.gov,True,s
H001079,Cindy,Hyde-Smith,,R,MS,"Senator, 2nd Class",https://www.hydesmith.senate.gov/,True,s
I000024,James,Inhofe,M.,R,OK,"Senator, 2nd Class",https://www.inhofe.senate.gov,True,s
I000055,Johnny,Isakson,,R,GA,"Senator, 3rd Class",https://www.isakson.senate.gov,True,s
J000293,Ron,Johnson,,R,WI,"Senator, 3rd Class",https://www.ronjohnson.senate.gov,True,s
J000300,Doug,Jones,,D,AL,"Senator, 2nd Class",https://www.jones.senate.gov,True,s
K000384,Tim,Kaine,,D,VA,"Senator, 1st Class",https://www.kaine.senate.gov,True,s
K000393,John,Kennedy,,R,LA,"Senator, 3rd Class",https://www.kennedy.senate.gov/public,True,s
K000383,Angus,King,,I,ME,"Senator, 1st Class",https://www.king.senate.gov,True,s
K000367,Amy,Klobuchar,,D,MN,"Senator, 1st Class",https://www.klobuchar.senate.gov,True,s
K000352,Jon,Kyl,,R,AZ,"Senator, 3rd Class",,True,s
L000575,James,Lankford,,R,OK,"Senator, 3rd Class",https://www.lankford.senate.gov,True,s
L000174,Patrick,Leahy,J.,D,VT,"Senator, 3rd Class",https://www.leahy.senate.gov,True,s
L000577,Mike,Lee,,R,UT,"Senator, 3rd Class",https://www.lee.senate.gov/public,True,s
M001183,Joe,Manchin,,D,WV,"Senator, 1st Class",https://www.manchin.senate.gov,True,s
M000133,Edward,Markey,J.,D,MA,"Senator, 2nd Class",https://www.markey.senate.gov,True,s
M000303,John,McCain,,R,AZ,"Senator, 3rd Class",https://www.mccain.senate.gov,False,s
M001170,Claire,McCaskill,,D,MO,"Senator, 1st Class",https://www.mccaskill.senate.gov,True,s
M000355,Mitch,McConnell,,R,KY,"Senator, 2nd Class",https://www.mcconnell.senate.gov,True,s
M000639,Robert,Menendez,,D,NJ,"Senator, 1st Class",https://www.menendez.senate.gov,True,s
M001176,Jeff,Merkley,,D,OR,"Senator, 2nd Class",https://www.merkley.senate.gov,True,s
M000934,Jerry,Moran,,R,KS,"Senator, 3rd Class",https://www.moran.senate.gov,True,s
M001153,Lisa,Murkowski,,R,AK,"Senator, 3rd Class",https://www.murkowski.senate.gov,True,s
M001169,Christopher,Murphy,S.,D,CT,"Senator, 1st Class",https://www.murphy.senate.gov,True,s
M001111,Patty,Murray,,D,WA,"Senator, 3rd Class",https://www.murray.senate.gov/public,True,s
N000032,Bill,Nelson,,D,FL,"Senator, 1st Class",https://www.billnelson.senate.gov,True,s
P000603,Rand,Paul,,R,KY,"Senator, 3rd Class",https://www.paul.senate.gov,True,s
P000612,David,Perdue,,R,GA,"Senator, 2nd Class",https://www.perdue.senate.gov,True,s
P000595,Gary,Peters,,D,MI,"Senator, 2nd Class",https://www.peters.senate.gov,True,s
P000449,Rob,Portman,,R,OH,"Senator, 3rd Class",https://www.portman.senate.gov,True,s
R000122,Jack,Reed,,D,RI,"Senator, 2nd Class",https://www.reed.senate.gov,True,s
R000584,Jim,Risch,,R,ID,"Senator, 2nd Class",https://www.risch.senate.gov,True,s
R000307,Pat,Roberts,,R,KS,"Senator, 2nd Class",https://www.roberts.senate.gov,True,s
R000605,Mike,Rounds,,R,SD,"Senator, 2nd Class",https://www.rounds.senate.gov,True,s
R000595,Marco,Rubio,,R,FL,"Senator, 3rd Class",https://www.rubio.senate.gov,True,s
S000033,Bernard,Sanders,,I,VT,"Senator, 1st Class",https://www.sanders.senate.gov,True,s
S001197,Ben,Sasse,,R,NE,"Senator, 2nd Class",https://www.sasse.senate.gov/public,True,s
S001194,Brian,Schatz,,D,HI,"Senator, 3rd Class",https://www.schatz.senate.gov,True,s
S000148,Charles,Schumer,E.,D,NY,"Senator, 3rd Class",https://www.schumer.senate.gov,True,s
S001184,Tim,Scott,,R,SC,"Senator, 3rd Class",https://www.scott.senate.gov,True,s
S001141,Jeff,Sessions,,R,AL,"Senator, 2nd Class",http://www.sessions.senate.gov/public,False,s
S001181,Jeanne,Shaheen,,D,NH,"Senator, 2nd Class",https://www.shaheen.senate.gov,True,s
S000320,Richard,Shelby,C.,R,AL,"Senator, 3rd Class",https://www.shelby.senate.gov,True,s
S001203,Tina,Smith,,D,MN,"Senator, 2nd Class",https://www.smith.senate.gov/,True,s
S000770,Debbie,Stabenow,,D,MI,"Senator, 1st Class",https://www.stabenow.senate.gov,True,s
S001202,Luther,Strange,,R,AL,"Senator, 2nd Class",https://www.strange.senate.gov/,False,s
S001198,Dan,Sullivan,,R,AK,"Senator, 2nd Class",https://www.sullivan.senate.gov,True,s
T000464,Jon,Tester,,D,MT,"Senator, 1st Class",https://www.tester.senate.gov,True,s
T000250,John,Thune,,R,SD,"Senator, 3rd Class",https://www.thune.senate.gov,True,s
T000476,Thom,Tillis,,R,NC,"Senator, 2nd Class",https://www.tillis.senate.gov/public,True,s
T000461,Patrick,Toomey,J.,R,PA,"Senator, 3rd Class",https://www.toomey.senate.gov,True,s
U000039,Tom,Udall,,D,NM,"Senator, 2nd Class",https://www.tomudall.senate.gov,True,s
V000128,Chris,Van Hollen,,D,MD,"Senator, 3rd Class",https://www.vanhollen.senate.gov,True,s
W000805,Mark,Warner,,D,VA,"Senator, 2nd Class",https://www.warner.senate.gov,True,s
W000817,Elizabeth,Warren,,D,MA,"Senator, 1st Class",https://www.warren.senate.gov,True,s
W000802,Sheldon,Whitehouse,,D,RI,"Senator, 1st Class",https://www.whitehouse.senate.gov,True,s
W000437,Roger,Wicker,,R,MS,"Senator, 1st Class",https://www.wicker.senate.gov,True,s
W000779,Ron,Wyden,,D,OR,"Senator, 3rd Class",https://www.wyden.senate.gov,True,s
Y000064,Todd,Young,,R,IN,"Senator, 3rd Class",https://www.young.senate.gov,True,s
A000374,Ralph,Abraham,,R,LA,Representative,https://abraham.house.gov,True,h
A000370,Alma,Adams,,D,NC,Representative,https://adams.house.gov,True,h
A000055,Robert,Aderholt,B.,R,AL,Representative,https://aderholt.house.gov,True,h
A000371,Pete,Aguilar,,D,CA,Representative,https://aguilar.house.gov,True,h
A000372,Rick,Allen,,R,GA,Representative,https://allen.house.gov,True,h
A000367,Justin,Amash,,R,MI,Representative,https://amash.house.gov,True,h
A000369,Mark,Amodei,,R,NV,Representative,https://amodei.house.gov,True,h
A000375,Jodey,Arrington,,R,TX,Representative,https://arrington.house.gov,True,h
B001291,Brian,Babin,,R,TX,Representative,https://babin.house.gov,True,h
B001298,Don,Bacon,,R,NE,Representative,https://bacon.house.gov,True,h
B001306,Troy,Balderson,,R,OH,Representative,https://balderson.house.gov/,True,h
B001299,Jim,Banks,,R,IN,Representative,https://banks.house.gov,True,h
B001269,Lou,Barletta,,R,PA,Representative,https://barletta.house.gov,True,h
B001282,Andy,Barr,,R,KY,Representative,https://barr.house.gov,True,h
B001300,Nanette,Barragán,,D,CA,Representative,https://barragan.house.gov,True,h
B000213,Joe,Barton,L.,R,TX,Representative,https://joebarton.house.gov,True,h
B001270,Karen,Bass,,D,CA,Representative,https://bass.house.gov,True,h
B001281,Joyce,Beatty,,D,OH,Representative,https://beatty.house.gov,True,h
B000287,Xavier,Becerra,,D,CA,Representative,http://becerra.house.gov,False,h
B001287,Ami,Bera,,D,CA,Representative,https://bera.house.gov,True,h
B001301,Jack,Bergman,,R,MI,Representative,https://bergman.house.gov,True,h
B001292,Donald,Beyer,,D,VA,Representative,https://beyer.house.gov,True,h
B001302,Andy,Biggs,,R,AZ,Representative,https://biggs.house.gov,True,h
B001257,Gus,Bilirakis,,R,FL,Representative,https://bilirakis.house.gov,True,h
B000490,Sanford,Bishop,D.,D,GA,Representative,https://bishop.house.gov,True,h
B001293,Mike,Bishop,,R,MI,Representative,https://mikebishop.house.gov,True,h
B001250,Rob,Bishop,,R,UT,Representative,https://robbishop.house.gov,True,h
B001273,Diane,Black,,R,TN,Representative,https://black.house.gov,True,h
B001243,Marsha,Blackburn,,R,TN,Representative,https://blackburn.house.gov,True,h
B001294,Rod,Blum,,R,IA,Representative,https://blum.house.gov,True,h
B000574,Earl,Blumenauer,,D,OR,Representative,https://blumenauer.house.gov,True,h
B001303,Lisa,Blunt Rochester,,D,DE,Representative,https://bluntrochester.house.gov,True,h
B001278,Suzanne,Bonamici,,D,OR,Representative,https://bonamici.house.gov,True,h
B001245,Madeleine,Bordallo,Z.,D,GU,Delegate,https://bordallo.house.gov,True,h
B001295,Mike,Bost,,R,IL,Representative,https://bost.house.gov,True,h
B001296,Brendan,Boyle,,D,PA,Representative,https://boyle.house.gov,True,h
B000755,Kevin,Brady,,R,TX,Representative,https://kevinbrady.house.gov,True,h
B001227,Robert,Brady,A.,D,PA,Representative,https://brady.house.gov,True,h
B001290,David,Brat,A.,R,VA,Representative,https://brat.house.gov,True,h
B001283,Jim,Bridenstine,,R,OK,Representative,https://bridenstine.house.gov,False,h
B001284,Susan,Brooks,,R,IN,Representative,https://susanwbrooks.house.gov,True,h
B001274,Mo,Brooks,,R,AL,Representative,https://brooks.house.gov,True,h
B001304,Anthony,Brown,,D,MD,Representative,https://anthonybrown.house.gov,True,h
B001285,Julia,Brownley,,D,CA,Representative,https://juliabrownley.house.gov,True,h
B001260,Vern,Buchanan,,R,FL,Representative,https://buchanan.house.gov,True,h
B001297,Ken,Buck,,R,CO,Representative,https://buck.house.gov,True,h
B001275,Larry,Bucshon,,R,IN,Representative,https://bucshon.house.gov,True,h
B001305,Ted,Budd,,R,NC,Representative,https://budd.house.gov,True,h
B001248,Michael,Burgess,C.,R,TX,Representative,https://burgess.house.gov,True,h
B001286,Cheri,Bustos,,D,IL,Representative,https://bustos.house.gov,True,h
B001251,G.,Butterfield,K.,D,NC,Representative,https://butterfield.house.gov,True,h
B001289,Bradley,Byrne,,R,AL,Representative,https://byrne.house.gov,True,h
C000059,Ken,Calvert,,R,CA,Representative,https://calvert.house.gov,True,h
C001037,Michael,Capuano,E.,D,MA,Representative,http://capuano.house.gov,True,h
C001112,Salud,Carbajal,,D,CA,Representative,https://carbajal.house.gov,True,h
C001097,Tony,Cárdenas,,D,CA,Representative,https://cardenas.house.gov,True,h
