id,title,short_title,api_uri,first_name,middle_name,last_name,suffix,date_of_birth,gender,party,leadership_role,twitter_account,facebook_account,youtube_account,govtrack_id,cspan_id,votesmart_id,icpsr_id,crp_id,google_entity_id,fec_candidate_id,url,rss_url,contact_form,in_office,dw_nominate,seniority,next_election,total_votes,missed_votes,total_present,last_updated,ocd_id,office,phone,fax,state,missed_votes_pct,votes_with_party_pct,congress,chamber
A000374,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000374.json,Ralph,,Abraham,,1954-09-16,M,R,,RepAbraham,CongressmanRalphAbraham,,412630,76236,155414,21522,N00036633,/m/012dwd7_,H4LA05221,https://abraham.house.gov,https://abraham.house.gov/rss.xml,,True,0.507,4,2018,1132.0,8.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:la/cd:5,417 Cannon House Office Building,202-225-8490,202-225-5639,LA,0.71,96.89,115,house
A000370,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000370.json,Alma,,Adams,,1946-05-27,F,D,,RepAdams,CongresswomanAdams,,412607,76386,5935,21545,N00035451,/m/02b45d,H4NC12100,https://adams.house.gov,https://adams.house.gov/rss.xml,,True,-0.47,6,2018,1132.0,32.0,2.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:nc/cd:12,222 Cannon House Office Building,202-225-1510,202-225-1512,NC,2.83,95.73,115,house
A000055,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000055.json,Robert,B.,Aderholt,,1965-07-22,M,R,,Robert_Aderholt,RobertAderholt,RobertAderholt,400004,45516,441,29701,N00003028,/m/024p03,H6AL04098,https://aderholt.house.gov,https://aderholt.house.gov/rss.xml,,True,0.361,22,2018,1132.0,45.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:al/cd:4,235 Cannon House Office Building,202-225-4876,202-225-5587,AL,3.98,96.78,115,house
A000371,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000371.json,Pete,,Aguilar,,1979-06-19,M,D,,reppeteaguilar,reppeteaguilar,,412615,79994,70114,21506,N00033997,/m/0jwv0xf,H2CA31125,https://aguilar.house.gov,https://aguilar.house.gov/rss.xml,,True,-0.284,4,2018,1132.0,14.0,2.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:ca/cd:31,1223 Longworth House Office Building,202-225-3201,202-226-6962,CA,1.24,92.04,115,house
A000372,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000372.json,Rick,,Allen,,1951-11-07,M,R,,reprickallen,CongressmanRickAllen,,412625,62545,136062,21516,N00033720,/m/0127y9dk,H2GA12121,https://allen.house.gov,,,True,0.617,4,2018,1132.0,12.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:ga/cd:12,426 Cannon House Office Building,202-225-2823,202-225-3377,GA,1.06,97.77,115,house
A000367,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000367.json,Justin,,Amash,,1980-04-18,M,R,,amashoffice,repjustinamash,repjustinamash,412438,1033767,105566,21143,N00031938,/m/0c00p_n,H0MI03126,https://amash.house.gov,https://amash.house.gov/rss.xml,,True,0.647,8,2018,1132.0,1.0,2.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:mi/cd:3,114 Cannon House Office Building,202-225-3831,202-225-5144,MI,0.09,67.99,115,house
A000369,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000369.json,Mark,,Amodei,,1958-06-12,M,R,,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,412500,62817,12537,21196,N00031177,/m/03bzdkn,H2NV02395,https://amodei.house.gov,https://amodei.house.gov/rss/news-releases.xml,,True,0.375,8,2018,1132.0,32.0,2.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:nv/cd:2,332 Cannon House Office Building,202-225-6155,202-225-5679,NV,2.83,95.55,115,house
A000375,Representative,Rep.,https://api.propublica.org/congress/v1/members/A000375.json,Jodey,,Arrington,,1972-03-09,M,R,,RepArrington,JodeyArrington,,412726,1016482,155685,21700,N00038285,/m/0g9_f_1,H6TX19099,https://arrington.house.gov,https://arrington.house.gov/rss.xml,,True,0.557,2,2018,1132.0,12.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,202-225-4005,,TX,1.06,98.48,115,house
B001291,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001291.json,Brian,,Babin,,1948-03-23,M,R,,RepBrianBabin,RepBrianBabin,,412655,44883,360,21551,N00005736,/m/010qgj35,H6TX02079,https://babin.house.gov,,,True,0.701,4,2018,1132.0,19.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:tx/cd:36,316 Cannon House Office Building,202-225-1555,202-226-0396,TX,1.68,95.42,115,house
B001298,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001298.json,Don,,Bacon,,1963-08-16,M,R,,RepDonBacon,,,412713,103442,166299,21701,N00037049,/m/01311t71,H6NE02125,https://bacon.house.gov,https://bacon.house.gov/rss.xml,,True,0.436,2,2018,1132.0,1.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:ne/cd:2,1516 Longworth House Office Building,202-225-4155,,NE,0.09,95.93,115,house
B001306,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001306.json,Troy,,Balderson,,1962-01-16,M,R,,RepBalderson,,,412747,,,,,/m/09ry4tm,,https://balderson.house.gov/,,,True,,2,,36.0,0.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:oh/cd:12,,,,OH,0.0,100.0,115,house
B001299,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001299.json,Jim,,Banks,,1979-07-16,M,R,,RepJimBanks,RepJimBanks,,412702,89806,116801,21702,N00037185,/m/0j621nj,H6IN03229,https://banks.house.gov,,,True,0.678,2,2018,1132.0,5.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:in/cd:3,509 Cannon House Office Building,202-225-4436,,IN,0.44,96.63,115,house
B001269,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001269.json,Lou,,Barletta,,1956-01-28,M,R,,RepLouBarletta,CongressmanLouBarletta,reploubarletta,412469,29618,47143,21171,N00025495,/m/03wcvjl,H2PA11098,https://barletta.house.gov,https://barletta.house.gov/rss.xml,,True,0.278,8,2018,1132.0,97.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:pa/cd:11,2049 Rayburn House Office Building,202-225-6511,202-225-0764,PA,8.57,94.98,115,house
B001282,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001282.json,Andy,,Barr,,1973-07-24,M,R,,RepAndyBarr,RepAndyBarr,RepAndyBarr,412541,61848,117290,21333,N00031233,/m/0ddc6r6,H0KY06104,https://barr.house.gov,https://barr.house.gov/rss.xml,,True,0.486,6,2018,1132.0,20.0,0.0,2018-11-17 13:30:24 -0500,ocd-division/country:us/state:ky/cd:6,1427 Longworth House Office Building,202-225-4706,,KY,1.77,96.58,115,house
B001300,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001300.json,Nanette,,Barragán,,1976-09-15,F,D,,RepBarragan,CongresswomanBarragan,,412687,104730,166270,21703,N00037019,/g/11bx55ybbz,H6CA44103,https://barragan.house.gov,,,True,-0.506,2,2018,1132.0,30.0,2.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:ca/cd:44,1320 Longworth House Office Building,202-225-8220,,CA,2.65,94.19,115,house
B000213,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000213.json,Joe,L.,Barton,,1949-09-15,M,R,,RepJoeBarton,RepJoeBarton,repjoebarton,400018,5248,27082,15085,N00005656,/m/03rspq,H4TX06117,https://joebarton.house.gov,,,True,0.528,34,2018,1132.0,38.0,0.0,2018-11-17 13:30:23 -0500,ocd-division/country:us/state:tx/cd:6,2107 Rayburn House Office Building,202-225-2002,202-225-3052,TX,3.36,95.8,115,house
B001270,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001270.json,Karen,,Bass,,1953-10-03,F,D,,RepKarenBass,RepKarenBass,RepKarenBass,412404,62502,28963,21110,N00031877,/m/027g9m6,H0CA33117,https://bass.house.gov,https://bass.house.gov/rss.xml,,True,-0.586,8,2018,1132.0,102.0,0.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:ca/cd:37,2241 Rayburn House Office Building,202-225-7084,202-225-2422,CA,9.01,93.01,115,house
B001281,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001281.json,Joyce,,Beatty,,1950-03-12,F,D,,RepBeatty,RepJoyceBeatty,,412565,67294,2427,21352,N00033904,/m/03lcwb,H2OH03125,https://beatty.house.gov,https://beatty.house.gov/rss.xml,,True,-0.428,6,2018,1132.0,65.0,2.0,2018-11-17 13:30:22 -0500,ocd-division/country:us/state:oh/cd:3,133 Cannon House Office Building,202-225-4324,202-225-1984,OH,5.74,94.28,115,house
B000287,Representative,Rep.,https://api.propublica.org/congress/v1/members/B000287.json,Xavier,,Becerra,,1958-01-26,M,D,,RepBecerra,XavierBecerra,XavierBecerra,400021,26567,,29316,,/m/024trk,H2CA30143,http://becerra.house.gov,https://becerra.house.gov/rss/press-releases.xml,,False,-0.512,26,2018,61.0,42.0,0.0,2018-11-16 11:31:42 -0500,ocd-division/country:us/state:ca/cd:34,,202-225-6235,,CA,68.85,89.47,115,house
B001287,Representative,Rep.,https://api.propublica.org/congress/v1/members/B001287.json,Ami,,Bera,,1965-03-02,M,D,,RepBera,RepAmiBera,repamibera,412512,1033636,120030,21304,N00030717,/m/0dgqnts,H0CA03078,https://bera.house.gov,https://bera.house.gov/rss.xml,,True,-0.228,6,2018,1132.0,1.0,0.0,2018-11-17 13:30:21 -0500,ocd-division/country:us/state:ca/cd:7,1431 Longworth House Office Building,202-225-5716,202-226-1298,CA,0.09,90.36,115,house
