bill_id,title,sponsor_id,sponsor_name,sponsor_state,sponsor_party,primary_subject,cosponsors,committees,committee_codes,bill_slug,bill_type,congress,chamber,type_
s3554-115,A bill to extend the effective date for the sunset for collateral requirements for Small Business Administration disaster loans.,K000393,John Kennedy,LA,R,Commerce,2,Senate Small Business and Entrepreneurship Committee,['SSSB'],s3554,s,115,house,passed
hr6784-115,To provide for removal of the gray wolf in the contiguous 48 States from the List of Endangered and Threatened Wildlife published under the Endangered Species Act of 1973.,D000614,Sean Duffy,WI,R,Animals,3,House Natural Resources Committee,['HSII'],hr6784,hr,115,house,passed
hr6116-115,"To designate the facility of the United States Postal Service located at 362 North Ross Street in Beaverton, Michigan, as the ""Colonel Alfred Asch Post Office"".",M001194,John Moolenaar,MI,R,Government Operations and Politics,12,Senate Homeland Security and Governmental Affairs Committee,"['SSGA', 'HSGO']",hr6116,hr,115,house,passed
hr5935-115,"To designate the facility of the United States Postal Service located at 1355 North Meridian Road in Harristown, Illinois, as the ""Logan S. Palmer Post Office"".",D000619,Rodney Davis,IL,R,Government Operations and Politics,17,Senate Homeland Security and Governmental Affairs Committee,"['SSGA', 'HSGO']",hr5935,hr,115,house,passed
hr5868-115,"To designate the facility of the United States Postal Service located at 530 Claremont Avenue in Ashland, Ohio, as the ""Bill Harris Post Office"".",G000563,Bob Gibbs,OH,R,Government Operations and Politics,14,Senate Homeland Security and Governmental Affairs Committee,"['SSGA', 'HSGO']",hr5868,hr,115,house,passed
hr5787-115,"To amend the Coastal Barrier Resources Act to give effect to more accurate maps of units of the John H. Chafee Coastal Barrier Resources System that were produced by digital mapping of such units, and for other purposes.",D000628,Neal Dunn,FL,R,Public Lands and Natural Resources,3,House Natural Resources Committee,['HSII'],hr5787,hr,115,house,passed
hr5784-115,"To designate the facility of the United States Postal Service located at 2650 North Doctor Martin Luther King Drive in Milwaukee, Wisconsin, as the ""Vel R. Phillips Post Office Building"".",M001160,Gwen Moore,WI,D,Government Operations and Politics,7,Senate Homeland Security and Governmental Affairs Committee,"['SSGA', 'HSGO']",hr5784,hr,115,house,passed
hr5737-115,"To designate the facility of the United States Postal Service located at 108 West D Street in Alpha, Illinois, as the ""Captain Joshua E. Steele Post Office"".",B001286,Cheri Bustos,IL,D,Government Operations and Politics,17,Senate Homeland Security and Governmental Affairs Committee,"['SSGA', 'HSGO']",hr5737,hr,115,house,passed
hr5504-115,"To designate the facility of the United States Postal Service located at 4801 West Van Giesen Street in West Richland, Washington, as the ""Sergeant Dietrich Schmieman Post Office Building"".",N000189,Dan Newhouse,WA,R,Government Operations and Politics,9,Senate Homeland Security and Governmental Affairs Committee,"['SSGA', 'HSGO']",hr5504,hr,115,house,passed
hr5349-115,"To designate the facility of the United States Postal Service located at 1320 Autumn Avenue in Memphis, Tennessee, as the ""Judge Russell B. Sugarmon Post Office Building"".",C001068,Steve Cohen,TN,D,Government Operations and Politics,8,Senate Homeland Security and Governmental Affairs Committee,"['SSGA', 'HSGO']",hr5349,hr,115,house,passed
