bill_id,title,short_title,sponsor_id,bill_uri,active
sres693-115,"A resolution celebrating October 25, 2018, as the 30th anniversary of the passage of the Women's Business Ownership Act of 1988, while commending the unique entrepreneurial spirit shared by women small business owners of the United States.","A resolution celebrating October 25, 2018, as the 30th anniversary of the passage of the Women's Business Ownership Act of 1988, while commending the unique entrepreneurial spirit shared by women small business owners of the United States.",R000584,https://api.propublica.org/congress/v1/115/bills/sres693.json,True
sres698-115,"A resolution designating November 3, 2018, as National Bison Day.","A resolution designating November 3, 2018, as National Bison Day.",H001061,https://api.propublica.org/congress/v1/115/bills/sres698.json,True
sres695-115,"A resolution designating the week beginning November 12, 2018, as ""National Apprenticeship Week"".","A resolution designating the week beginning November 12, 2018, as ""National Apprenticeship Week"".",M001111,https://api.propublica.org/congress/v1/115/bills/sres695.json,True
sres702-115,A resolution recognizing National Native American Heritage Month and celebrating the heritages and cultures of Native Americans and the contributions of Native Americans to the United States.,A resolution recognizing National Native American Heritage Month and celebrating the heritages and cultures of Native Americans and the contributions of Native Americans to the United States.,H001061,https://api.propublica.org/congress/v1/115/bills/sres702.json,False
sres703-115,A resolution expressing support for the goals of Stomach Cancer Awareness Month.,A resolution expressing support for the goals of Stomach Cancer Awareness Month.,Y000064,https://api.propublica.org/congress/v1/115/bills/sres703.json,False
sres697-115,"A resolution designating November 2018 as ""National College Application Month"".","A resolution designating November 2018 as ""National College Application Month"".",C001088,https://api.propublica.org/congress/v1/115/bills/sres697.json,True
sres694-115,"A resolution condemning the horrific, anti-Semitic attack at a synagogue in Pittsburgh, Pennsylvania, expressing support and prayers for all those affected by the tragedy, and applauding the dedication and bravery of law enforcement and emergency response officials in responding to the attack.","A resolution condemning the horrific, anti-Semitic attack at a synagogue in Pittsburgh, Pennsylvania, expressing support and prayers for all those affected by the tragedy, and applauding the dedication and bravery of law enforcement and emergency response",T000461,https://api.propublica.org/congress/v1/115/bills/sres694.json,True
sres696-115,"A resolution permitting the collection of clothing, toys, food, and housewares during the holiday season for charitable purposes in Senate buildings.","A resolution permitting the collection of clothing, toys, food, and housewares during the holiday season for charitable purposes in Senate buildings.",I000055,https://api.propublica.org/congress/v1/115/bills/sres696.json,True
sres688-115,"A resolution expressing support for the designation of the week of November 19 through November 23, 2018, as ""National Family Service Learning Week"".","A resolution expressing support for the designation of the week of November 19 through November 23, 2018, as ""National Family Service Learning Week"".",C001056,https://api.propublica.org/congress/v1/115/bills/sres688.json,False
sres691-115,A resolution reaffirming the centrality of press freedom and freedom of expression to democracy in the United States and to international peace and stability.,A resolution reaffirming the centrality of press freedom and freedom of expression to democracy in the United States and to international peace and stability.,M001176,https://api.propublica.org/congress/v1/115/bills/sres691.json,False
sres701-115,"A resolution designating November 15, 2018, as ""National GIS Day"".","A resolution designating November 15, 2018, as ""National GIS Day"".",H000338,https://api.propublica.org/congress/v1/115/bills/sres701.json,True
