,api_uri,begin_date,id,name,note,party,rank_in_party,side,state,subcomitee,comitee
0,https://api.propublica.org/congress/v1/members/B001236.json,,B001236,John Boozman,,R,1,majority,AR,SSAF13,SSAF
1,https://api.propublica.org/congress/v1/members/H001069.json,,H001069,Heidi Heitkamp,,D,1,minority,ND,SSAF13,SSAF
2,https://api.propublica.org/congress/v1/members/B000944.json,,B000944,Sherrod Brown,,D,2,minority,OH,SSAF13,SSAF
3,https://api.propublica.org/congress/v1/members/H001061.json,,H001061,John Hoeven,,R,3,majority,ND,SSAF13,SSAF
4,https://api.propublica.org/congress/v1/members/B001267.json,,B001267,Michael Bennet,,D,3,minority,CO,SSAF13,SSAF
5,https://api.propublica.org/congress/v1/members/G000386.json,,G000386,Charles E. Grassley,,R,4,majority,IA,SSAF13,SSAF
6,https://api.propublica.org/congress/v1/members/G000555.json,,G000555,Kirsten E. Gillibrand,,D,4,minority,NY,SSAF13,SSAF
7,https://api.propublica.org/congress/v1/members/T000250.json,,T000250,John Thune,,R,5,majority,SD,SSAF13,SSAF
8,https://api.propublica.org/congress/v1/members/D000607.json,,D000607,Joe Donnelly,,D,5,minority,IN,SSAF13,SSAF
9,https://api.propublica.org/congress/v1/members/S001203.json,,S001203,Tina Smith,,D,6,minority,MN,SSAF13,SSAF
10,https://api.propublica.org/congress/v1/members/D000618.json,,D000618,Steve Daines,,R,6,majority,MT,SSAF13,SSAF
11,https://api.propublica.org/congress/v1/members/V000128.json,,V000128,Chris Van Hollen,,D,6,minority,MD,SSAF13,SSAF
12,https://api.propublica.org/congress/v1/members/P000612.json,,P000612,David Perdue,,R,7,majority,GA,SSAF13,SSAF
0,https://api.propublica.org/congress/v1/members/B001267.json,,B001267,Michael Bennet,,D,1,minority,CO,SSAF14,SSAF
1,https://api.propublica.org/congress/v1/members/D000618.json,,D000618,Steve Daines,,R,1,majority,MT,SSAF14,SSAF
2,https://api.propublica.org/congress/v1/members/L000174.json,,L000174,Patrick J. Leahy,,D,2,minority,VT,SSAF14,SSAF
3,https://api.propublica.org/congress/v1/members/M000355.json,,M000355,Mitch McConnell,,R,3,majority,KY,SSAF14,SSAF
4,https://api.propublica.org/congress/v1/members/K000367.json,,K000367,Amy Klobuchar,,D,3,minority,MN,SSAF14,SSAF
5,https://api.propublica.org/congress/v1/members/B001236.json,,B001236,John Boozman,,R,4,majority,AR,SSAF14,SSAF
6,https://api.propublica.org/congress/v1/members/D000607.json,,D000607,Joe Donnelly,,D,4,minority,IN,SSAF14,SSAF
7,https://api.propublica.org/congress/v1/members/G000386.json,,G000386,Charles E. Grassley,,R,5,majority,IA,SSAF14,SSAF
8,https://api.propublica.org/congress/v1/members/C001070.json,,C001070,Bob Casey,,D,5,minority,PA,SSAF14,SSAF
9,https://api.propublica.org/congress/v1/members/P000612.json,,P000612,David Perdue,,R,6,majority,GA,SSAF14,SSAF
0,https://api.propublica.org/congress/v1/members/E000295.json,,E000295,Joni Ernst,,R,1,majority,IA,SSAF15,SSAF
1,https://api.propublica.org/congress/v1/members/V000128.json,,V000128,Chris Van Hollen,,D,1,minority,MD,SSAF15,SSAF
2,https://api.propublica.org/congress/v1/members/S001203.json,,S001203,Tina Smith,,D,1,minority,MN,SSAF15,SSAF
3,https://api.propublica.org/congress/v1/members/B000944.json,,B000944,Sherrod Brown,,D,1,minority,OH,SSAF15,SSAF
4,https://api.propublica.org/congress/v1/members/B000944.json,,B000944,Sherrod Brown,,D,2,minority,OH,SSAF15,SSAF
5,https://api.propublica.org/congress/v1/members/K000367.json,,K000367,Amy Klobuchar,,D,2,minority,MN,SSAF15,SSAF
6,https://api.propublica.org/congress/v1/members/B001236.json,,B001236,John Boozman,,R,3,majority,AR,SSAF15,SSAF
7,https://api.propublica.org/congress/v1/members/K000367.json,,K000367,Amy Klobuchar,,D,3,minority,MN,SSAF15,SSAF
8,https://api.propublica.org/congress/v1/members/B001267.json,,B001267,Michael Bennet,,D,3,minority,CO,SSAF15,SSAF
9,https://api.propublica.org/congress/v1/members/H001061.json,,H001061,John Hoeven,,R,4,majority,ND,SSAF15,SSAF
10,https://api.propublica.org/congress/v1/members/B001267.json,,B001267,Michael Bennet,,D,4,minority,CO,SSAF15,SSAF
11,https://api.propublica.org/congress/v1/members/D000607.json,,D000607,Joe Donnelly,,D,4,minority,IN,SSAF15,SSAF
12,https://api.propublica.org/congress/v1/members/T000250.json,,T000250,John Thune,,R,5,majority,SD,SSAF15,SSAF
13,https://api.propublica.org/congress/v1/members/D000607.json,,D000607,Joe Donnelly,,D,5,minority,IN,SSAF15,SSAF
14,https://api.propublica.org/congress/v1/members/H001069.json,,H001069,Heidi Heitkamp,,D,5,minority,ND,SSAF15,SSAF
15,https://api.propublica.org/congress/v1/members/D000618.json,,D000618,Steve Daines,,R,6,majority,MT,SSAF15,SSAF
16,https://api.propublica.org/congress/v1/members/H001069.json,,H001069,Heidi Heitkamp,,D,6,minority,ND,SSAF15,SSAF
17,https://api.propublica.org/congress/v1/members/F000463.json,,F000463,Deb Fischer,,R,7,majority,NE,SSAF15,SSAF
0,https://api.propublica.org/congress/v1/members/P000612.json,,P000612,David Perdue,,R,1,majority,GA,SSAF17,SSAF
1,https://api.propublica.org/congress/v1/members/G000555.json,,G000555,Kirsten E. Gillibrand,,D,1,minority,NY,SSAF17,SSAF
2,https://api.propublica.org/congress/v1/members/F000463.json,,F000463,Deb Fischer,,R,1,majority,NE,SSAF17,SSAF
3,https://api.propublica.org/congress/v1/members/M000355.json,,M000355,Mitch McConnell,,R,2,majority,KY,SSAF17,SSAF
4,https://api.propublica.org/congress/v1/members/L000174.json,,L000174,Patrick J. Leahy,,D,2,minority,VT,SSAF17,SSAF
5,https://api.propublica.org/congress/v1/members/E000295.json,,E000295,Joni Ernst,,R,3,majority,IA,SSAF17,SSAF
6,https://api.propublica.org/congress/v1/members/K000367.json,,K000367,Amy Klobuchar,,D,3,minority,MN,SSAF17,SSAF
7,https://api.propublica.org/congress/v1/members/G000386.json,,G000386,Charles E. Grassley,,R,4,majority,IA,SSAF17,SSAF
8,https://api.propublica.org/congress/v1/members/H001069.json,,H001069,Heidi Heitkamp,,D,4,minority,ND,SSAF17,SSAF
9,https://api.propublica.org/congress/v1/members/T000250.json,,T000250,John Thune,,R,5,majority,SD,SSAF17,SSAF
10,https://api.propublica.org/congress/v1/members/C001070.json,,C001070,Bob Casey,,D,5,minority,PA,SSAF17,SSAF
11,https://api.propublica.org/congress/v1/members/D000618.json,,D000618,Steve Daines,,R,6,majority,MT,SSAF17,SSAF
0,https://api.propublica.org/congress/v1/members/C001070.json,,C001070,Bob Casey,,D,1,minority,PA,SSAF16,SSAF
1,https://api.propublica.org/congress/v1/members/P000612.json,,P000612,David Perdue,,R,1,majority,GA,SSAF16,SSAF
2,https://api.propublica.org/congress/v1/members/M000355.json,,M000355,Mitch McConnell,,R,1,majority,KY,SSAF16,SSAF
3,https://api.propublica.org/congress/v1/members/M000355.json,,M000355,Mitch McConnell,,R,2,majority,KY,SSAF16,SSAF
4,https://api.propublica.org/congress/v1/members/L000174.json,,L000174,Patrick J. Leahy,,D,2,minority,VT,SSAF16,SSAF
5,https://api.propublica.org/congress/v1/members/B001236.json,,B001236,John Boozman,,R,2,majority,AR,SSAF16,SSAF
6,https://api.propublica.org/congress/v1/members/B001236.json,,B001236,John Boozman,,R,3,majority,AR,SSAF16,SSAF
7,https://api.propublica.org/congress/v1/members/B000944.json,,B000944,Sherrod Brown,,D,3,minority,OH,SSAF16,SSAF
8,https://api.propublica.org/congress/v1/members/H001061.json,,H001061,John Hoeven,,R,3,majority,ND,SSAF16,SSAF
9,https://api.propublica.org/congress/v1/members/H001061.json,,H001061,John Hoeven,,R,4,majority,ND,SSAF16,SSAF
10,https://api.propublica.org/congress/v1/members/G000555.json,,G000555,Kirsten E. Gillibrand,,D,4,minority,NY,SSAF16,SSAF
11,https://api.propublica.org/congress/v1/members/E000295.json,,E000295,Joni Ernst,,R,4,majority,IA,SSAF16,SSAF
12,https://api.propublica.org/congress/v1/members/E000295.json,,E000295,Joni Ernst,,R,5,majority,IA,SSAF16,SSAF
13,https://api.propublica.org/congress/v1/members/V000128.json,,V000128,Chris Van Hollen,,D,5,minority,MD,SSAF16,SSAF
14,https://api.propublica.org/congress/v1/members/S001203.json,,S001203,Tina Smith,,D,5,minority,MN,SSAF16,SSAF
15,https://api.propublica.org/congress/v1/members/P000612.json,,P000612,David Perdue,,R,5,majority,GA,SSAF16,SSAF
16,https://api.propublica.org/congress/v1/members/P000612.json,,P000612,David Perdue,,R,6,majority,GA,SSAF16,SSAF
17,https://api.propublica.org/congress/v1/members/F000463.json,,F000463,Deb Fischer,,R,6,majority,NE,SSAF16,SSAF
0,https://api.propublica.org/congress/v1/members/B000575.json,,B000575,Roy Blunt,,R,1,majority,MO,SSAP18,SSAP
1,https://api.propublica.org/congress/v1/members/M001111.json,,M001111,Patty Murray,,D,1,minority,WA,SSAP18,SSAP
2,https://api.propublica.org/congress/v1/members/D000563.json,,D000563,Richard J. Durbin,,D,2,minority,IL,SSAP18,SSAP
3,https://api.propublica.org/congress/v1/members/S000320.json,,S000320,Richard C. Shelby,,R,3,majority,AL,SSAP18,SSAP
4,https://api.propublica.org/congress/v1/members/R000122.json,,R000122,Jack Reed,,D,3,minority,RI,SSAP18,SSAP
5,https://api.propublica.org/congress/v1/members/A000360.json,,A000360,Lamar Alexander,,R,4,majority,TN,SSAP18,SSAP
6,https://api.propublica.org/congress/v1/members/S001181.json,,S001181,Jeanne Shaheen,,D,4,minority,NH,SSAP18,SSAP
7,https://api.propublica.org/congress/v1/members/G000359.json,,G000359,Lindsey Graham,,R,5,majority,SC,SSAP18,SSAP
8,https://api.propublica.org/congress/v1/members/M001176.json,,M001176,Jeff Merkley,,D,5,minority,OR,SSAP18,SSAP
9,https://api.propublica.org/congress/v1/members/M000934.json,,M000934,Jerry Moran,,R,6,majority,KS,SSAP18,SSAP
10,https://api.propublica.org/congress/v1/members/S001194.json,,S001194,Brian Schatz,,D,6,minority,HI,SSAP18,SSAP
11,https://api.propublica.org/congress/v1/members/C001047.json,,C001047,Shelley Moore Capito,,R,7,majority,WV,SSAP18,SSAP
12,https://api.propublica.org/congress/v1/members/B001230.json,,B001230,Tammy Baldwin,,D,7,minority,WI,SSAP18,SSAP
13,https://api.propublica.org/congress/v1/members/L000575.json,,L000575,James Lankford,,R,8,majority,OK,SSAP18,SSAP
14,https://api.propublica.org/congress/v1/members/M001169.json,,M001169,Christopher S. Murphy,,D,8,minority,CT,SSAP18,SSAP
15,https://api.propublica.org/congress/v1/members/K000393.json,,K000393,John Kennedy,,R,9,majority,LA,SSAP18,SSAP
16,https://api.propublica.org/congress/v1/members/M001183.json,,M001183,Joe Manchin III,,D,9,minority,WV,SSAP18,SSAP
17,https://api.propublica.org/congress/v1/members/R000595.json,,R000595,Marco Rubio,,R,10,majority,FL,SSAP18,SSAP
0,https://api.propublica.org/congress/v1/members/S000320.json,,S000320,Richard C. Shelby,,R,1,majority,AL,SSAP16,SSAP
1,https://api.propublica.org/congress/v1/members/S001181.json,,S001181,Jeanne Shaheen,,D,1,minority,NH,SSAP16,SSAP
2,https://api.propublica.org/congress/v1/members/A000360.json,,A000360,Lamar Alexander,,R,2,majority,TN,SSAP16,SSAP
3,https://api.propublica.org/congress/v1/members/L000174.json,,L000174,Patrick J. Leahy,,D,2,minority,VT,SSAP16,SSAP
4,https://api.propublica.org/congress/v1/members/M001153.json,,M001153,Lisa Murkowski,,R,3,majority,AK,SSAP16,SSAP
5,https://api.propublica.org/congress/v1/members/F000062.json,,F000062,Dianne Feinstein,,D,3,minority,CA,SSAP16,SSAP
6,https://api.propublica.org/congress/v1/members/C001035.json,,C001035,Susan Collins,,R,4,majority,ME,SSAP16,SSAP
7,https://api.propublica.org/congress/v1/members/R000122.json,,R000122,Jack Reed,,D,4,minority,RI,SSAP16,SSAP
8,https://api.propublica.org/congress/v1/members/G000359.json,,G000359,Lindsey Graham,,R,5,majority,SC,SSAP16,SSAP
9,https://api.propublica.org/congress/v1/members/C001088.json,,C001088,Christopher A. Coons,,D,5,minority,DE,SSAP16,SSAP
10,https://api.propublica.org/congress/v1/members/B001236.json,,B001236,John Boozman,,R,6,majority,AR,SSAP16,SSAP
11,https://api.propublica.org/congress/v1/members/S001194.json,,S001194,Brian Schatz,,D,6,minority,HI,SSAP16,SSAP
12,https://api.propublica.org/congress/v1/members/C001047.json,,C001047,Shelley Moore Capito,,R,7,majority,WV,SSAP16,SSAP
13,https://api.propublica.org/congress/v1/members/M001183.json,,M001183,Joe Manchin III,,D,7,minority,WV,SSAP16,SSAP
14,https://api.propublica.org/congress/v1/members/L000575.json,,L000575,James Lankford,,R,8,majority,OK,SSAP16,SSAP
15,https://api.propublica.org/congress/v1/members/V000128.json,,V000128,Chris Van Hollen,,D,8,minority,MD,SSAP16,SSAP
16,https://api.propublica.org/congress/v1/members/K000393.json,,K000393,John Kennedy,,R,9,majority,LA,SSAP16,SSAP
0,https://api.propublica.org/congress/v1/members/A000360.json,,A000360,Lamar Alexander,,R,1,majority,TN,SSAP22,SSAP
1,https://api.propublica.org/congress/v1/members/F000062.json,,F000062,Dianne Feinstein,,D,1,minority,CA,SSAP22,SSAP
2,https://api.propublica.org/congress/v1/members/M001111.json,,M001111,Patty Murray,,D,2,minority,WA,SSAP22,SSAP
3,https://api.propublica.org/congress/v1/members/M000355.json,,M000355,Mitch McConnell,,R,3,majority,KY,SSAP22,SSAP
4,https://api.propublica.org/congress/v1/members/T000464.json,,T000464,Jon Tester,,D,3,minority,MT,SSAP22,SSAP
5,https://api.propublica.org/congress/v1/members/S000320.json,,S000320,Richard C. Shelby,,R,4,majority,AL,SSAP22,SSAP
6,https://api.propublica.org/congress/v1/members/D000563.json,,D000563,Richard J. Durbin,,D,4,minority,IL,SSAP22,SSAP
7,https://api.propublica.org/congress/v1/members/C001035.json,,C001035,Susan Collins,,R,5,majority,ME,SSAP22,SSAP
8,https://api.propublica.org/congress/v1/members/U000039.json,,U000039,Tom Udall,,D,5,minority,NM,SSAP22,SSAP
9,https://api.propublica.org/congress/v1/members/M001153.json,,M001153,Lisa Murkowski,,R,6,majority,AK,SSAP22,SSAP
10,https://api.propublica.org/congress/v1/members/S001181.json,,S001181,Jeanne Shaheen,,D,6,minority,NH,SSAP22,SSAP
11,https://api.propublica.org/congress/v1/members/G000359.json,,G000359,Lindsey Graham,,R,7,majority,SC,SSAP22,SSAP
12,https://api.propublica.org/congress/v1/members/M001176.json,,M001176,Jeff Merkley,,D,7,minority,OR,SSAP22,SSAP
13,https://api.propublica.org/congress/v1/members/H001061.json,,H001061,John Hoeven,,R,8,majority,ND,SSAP22,SSAP
14,https://api.propublica.org/congress/v1/members/C001088.json,,C001088,Christopher A. Coons,,D,8,minority,DE,SSAP22,SSAP
15,https://api.propublica.org/congress/v1/members/K000393.json,,K000393,John Kennedy,,R,9,majority,LA,SSAP22,SSAP
0,https://api.propublica.org/congress/v1/members/G000359.json,,G000359,Lindsey Graham,,R,1,majority,SC,SSAP20,SSAP
