congress,party,major,state,count
93,D,Agriculture,AL,1
93,D,Agriculture,AR,18
93,D,Agriculture,AZ,1
93,D,Agriculture,CA,29
93,D,Agriculture,CO,3
93,D,Agriculture,CT,3
93,D,Agriculture,DC,2
93,D,Agriculture,DE,1
93,D,Agriculture,FL,16
93,D,Agriculture,GA,37
93,D,Agriculture,HI,8
93,D,Agriculture,IA,13
93,D,Agriculture,IL,6
93,D,Agriculture,IN,5
93,D,Agriculture,KS,7
93,D,Agriculture,KY,6
93,D,Agriculture,LA,4
93,D,Agriculture,MA,13
93,D,Agriculture,MD,5
93,D,Agriculture,ME,3
93,D,Agriculture,MI,20
93,D,Agriculture,MN,13
93,D,Agriculture,MO,10
93,D,Agriculture,MS,12
93,D,Agriculture,MT,7
93,D,Agriculture,NC,12
93,D,Agriculture,ND,2
93,D,Agriculture,NJ,27
93,D,Agriculture,NM,2
93,D,Agriculture,NY,47
93,D,Agriculture,OH,11
93,D,Agriculture,OR,1
93,D,Agriculture,PA,11
93,D,Agriculture,RI,4
93,D,Agriculture,SC,3
93,D,Agriculture,SD,11
93,D,Agriculture,TN,9
93,D,Agriculture,TX,24
93,D,Agriculture,UT,1
93,D,Agriculture,VA,4
93,D,Agriculture,WA,6
93,D,Agriculture,WI,13
93,D,Agriculture,WV,6
93,D,Agriculture,WY,1
93,D,Civil Rights,AL,3
93,D,Civil Rights,AR,2
93,D,Civil Rights,CA,62
93,D,Civil Rights,FL,16
93,D,Civil Rights,GA,2
93,D,Civil Rights,HI,6
93,D,Civil Rights,IA,1
93,D,Civil Rights,ID,2
93,D,Civil Rights,IL,4
93,D,Civil Rights,IN,3
93,D,Civil Rights,KY,1
93,D,Civil Rights,LA,7
93,D,Civil Rights,MA,22
93,D,Civil Rights,MD,4
93,D,Civil Rights,ME,10
93,D,Civil Rights,MI,7
93,D,Civil Rights,MN,3
93,D,Civil Rights,MO,4
93,D,Civil Rights,MS,1
93,D,Civil Rights,MT,1
93,D,Civil Rights,NC,11
93,D,Civil Rights,NJ,12
93,D,Civil Rights,NY,75
93,D,Civil Rights,OR,3
93,D,Civil Rights,PA,20
93,D,Civil Rights,RI,5
93,D,Civil Rights,SD,2
93,D,Civil Rights,TX,8
93,D,Civil Rights,WA,7
93,D,Civil Rights,WI,11
93,D,Civil Rights,WV,5
93,D,Defense,AK,4
93,D,Defense,AL,17
93,D,Defense,AR,8
93,D,Defense,AZ,2
93,D,Defense,CA,90
93,D,Defense,CO,2
93,D,Defense,CT,12
93,D,Defense,DC,1
93,D,Defense,FL,76
93,D,Defense,GA,24
93,D,Defense,GU,2
93,D,Defense,HI,40
93,D,Defense,IA,9
93,D,Defense,ID,2
93,D,Defense,IL,23
93,D,Defense,IN,21
93,D,Defense,KS,3
93,D,Defense,KY,12
93,D,Defense,LA,42
93,D,Defense,MA,41
93,D,Defense,MD,14
93,D,Defense,ME,2
93,D,Defense,MI,10
93,D,Defense,MN,29
93,D,Defense,MO,11
93,D,Defense,MS,27
93,D,Defense,MT,5
93,D,Defense,NC,5
93,D,Defense,NH,1
93,D,Defense,NJ,58
93,D,Defense,NM,2
93,D,Defense,NV,2
93,D,Defense,NY,112
93,D,Defense,OH,15
93,D,Defense,OK,2
93,D,Defense,OR,3
93,D,Defense,PA,33
93,D,Defense,RI,24
93,D,Defense,SC,44
93,D,Defense,SD,11
93,D,Defense,TN,5
93,D,Defense,TX,68
93,D,Defense,UT,10
93,D,Defense,VA,7
93,D,Defense,WA,15
93,D,Defense,WI,17
93,D,Defense,WV,8
93,D,Defense,WY,4
93,D,Domestic Commerce,AK,2
93,D,Domestic Commerce,AL,24
93,D,Domestic Commerce,AR,20
93,D,Domestic Commerce,AZ,3
93,D,Domestic Commerce,CA,106
93,D,Domestic Commerce,CO,1
93,D,Domestic Commerce,CT,16
93,D,Domestic Commerce,DC,2
93,D,Domestic Commerce,DE,2
