congress,party,major,state,count
93,D,1.0,AK,1
93,D,1.0,AL,10
93,D,1.0,AR,11
93,D,1.0,CA,42
93,D,1.0,CO,4
93,D,1.0,CT,5
93,D,1.0,DE,2
93,D,1.0,FL,14
93,D,1.0,GA,11
93,D,1.0,HI,5
93,D,1.0,IA,2
93,D,1.0,ID,2
93,D,1.0,IL,16
93,D,1.0,IN,12
93,D,1.0,KS,3
93,D,1.0,KY,2
93,D,1.0,LA,20
93,D,1.0,MA,37
93,D,1.0,MD,5
93,D,1.0,ME,8
93,D,1.0,MI,10
93,D,1.0,MN,11
93,D,1.0,MO,12
93,D,1.0,MS,1
93,D,1.0,MT,4
93,D,1.0,NC,2
93,D,1.0,NH,2
93,D,1.0,NJ,26
93,D,1.0,NV,1
93,D,1.0,NY,71
93,D,1.0,OH,15
93,D,1.0,OK,3
93,D,1.0,OR,2
93,D,1.0,PA,14
93,D,1.0,RI,4
93,D,1.0,SC,1
93,D,1.0,SD,4
93,D,1.0,TN,7
93,D,1.0,TX,40
93,D,1.0,UT,1
93,D,1.0,VA,1
93,D,1.0,WA,6
93,D,1.0,WI,19
93,D,1.0,WV,1
93,D,1.0,WY,2
93,D,2.0,AL,3
93,D,2.0,AR,2
93,D,2.0,CA,62
93,D,2.0,FL,16
93,D,2.0,GA,2
93,D,2.0,HI,6
93,D,2.0,IA,1
93,D,2.0,ID,2
93,D,2.0,IL,4
93,D,2.0,IN,3
93,D,2.0,KY,1
93,D,2.0,LA,7
93,D,2.0,MA,22
93,D,2.0,MD,4
93,D,2.0,ME,10
93,D,2.0,MI,7
93,D,2.0,MN,3
93,D,2.0,MO,4
93,D,2.0,MS,1
93,D,2.0,MT,1
93,D,2.0,NC,11
93,D,2.0,NJ,12
93,D,2.0,NY,75
93,D,2.0,OR,3
93,D,2.0,PA,20
93,D,2.0,RI,5
93,D,2.0,SD,2
93,D,2.0,TX,8
93,D,2.0,WA,7
93,D,2.0,WI,11
93,D,2.0,WV,5
93,D,3.0,AK,2
93,D,3.0,AL,8
93,D,3.0,AR,4
93,D,3.0,AZ,1
93,D,3.0,CA,111
93,D,3.0,CT,10
93,D,3.0,FL,105
93,D,3.0,GA,17
93,D,3.0,GU,2
93,D,3.0,HI,16
93,D,3.0,IA,5
93,D,3.0,ID,5
93,D,3.0,IL,34
93,D,3.0,IN,15
93,D,3.0,KS,9
93,D,3.0,KY,4
93,D,3.0,LA,28
93,D,3.0,MA,55
93,D,3.0,MD,2
93,D,3.0,ME,15
93,D,3.0,MI,25
93,D,3.0,MN,22
93,D,3.0,MO,13
93,D,3.0,MS,6
93,D,3.0,MT,1
93,D,3.0,NC,4
93,D,3.0,ND,1
93,D,3.0,NH,1
93,D,3.0,NJ,92
93,D,3.0,NM,3
93,D,3.0,NV,1
93,D,3.0,NY,144
93,D,3.0,OH,7
93,D,3.0,OK,6
93,D,3.0,OR,2
93,D,3.0,PA,34
93,D,3.0,RI,14
93,D,3.0,SC,21
93,D,3.0,SD,6
93,D,3.0,TN,24
93,D,3.0,TX,37
93,D,3.0,UT,20
93,D,3.0,VA,13
93,D,3.0,WA,16
93,D,3.0,WI,31
93,D,3.0,WV,29
93,D,3.0,WY,6
93,D,4.0,AL,1
93,D,4.0,AR,18
93,D,4.0,AZ,1
93,D,4.0,CA,29
93,D,4.0,CO,3
93,D,4.0,CT,3
93,D,4.0,DC,2
93,D,4.0,DE,1
93,D,4.0,FL,16
93,D,4.0,GA,37
93,D,4.0,HI,8
93,D,4.0,IA,13
93,D,4.0,IL,6
93,D,4.0,IN,5
93,D,4.0,KS,7
93,D,4.0,KY,6
93,D,4.0,LA,4
93,D,4.0,MA,13
93,D,4.0,MD,5
93,D,4.0,ME,3
93,D,4.0,MI,20
93,D,4.0,MN,13
93,D,4.0,MO,10
93,D,4.0,MS,12
93,D,4.0,MT,7
93,D,4.0,NC,12
93,D,4.0,ND,2
93,D,4.0,NJ,27
93,D,4.0,NM,2
93,D,4.0,NY,47
93,D,4.0,OH,11
93,D,4.0,OR,1
93,D,4.0,PA,11
93,D,4.0,RI,4
93,D,4.0,SC,3
93,D,4.0,SD,11
93,D,4.0,TN,9
93,D,4.0,TX,24
93,D,4.0,UT,1
93,D,4.0,VA,4
93,D,4.0,WA,6
93,D,4.0,WI,13
93,D,4.0,WV,6
93,D,4.0,WY,1
93,D,5.0,AK,2
93,D,5.0,AL,3
93,D,5.0,AR,5
93,D,5.0,CA,122
93,D,5.0,CO,1
93,D,5.0,CT,12
93,D,5.0,DE,1
93,D,5.0,FL,16
93,D,5.0,GA,5
93,D,5.0,HI,28
93,D,5.0,IA,3
93,D,5.0,ID,1
93,D,5.0,IL,15
93,D,5.0,IN,11
93,D,5.0,KY,8
93,D,5.0,LA,8
93,D,5.0,MA,40
93,D,5.0,MD,2
93,D,5.0,ME,4
93,D,5.0,MI,23
93,D,5.0,MN,16
93,D,5.0,MO,5
93,D,5.0,MS,3
93,D,5.0,MT,2
93,D,5.0,NC,8
93,D,5.0,NH,1
93,D,5.0,NJ,81
93,D,5.0,NM,2
93,D,5.0,NY,78
93,D,5.0,OH,8
93,D,5.0,OK,2
93,D,5.0,OR,14
93,D,5.0,PA,44
93,D,5.0,RI,6
93,D,5.0,SC,5
93,D,5.0,TN,1
93,D,5.0,TX,22
93,D,5.0,VA,1
93,D,5.0,WA,17
93,D,5.0,WI,11
93,D,5.0,WV,11
93,D,5.0,WY,2
93,D,6.0,AK,1
93,D,6.0,AL,4
93,D,6.0,AR,3
93,D,6.0,CA,46
93,D,6.0,CO,1
93,D,6.0,CT,4
93,D,6.0,FL,18
93,D,6.0,GA,10
93,D,6.0,HI,19
93,D,6.0,IA,2
93,D,6.0,ID,1
93,D,6.0,IL,10
93,D,6.0,IN,18
93,D,6.0,KS,2
93,D,6.0,KY,14
93,D,6.0,LA,13
93,D,6.0,MA,18
93,D,6.0,MD,5
93,D,6.0,ME,2
93,D,6.0,MI,31
93,D,6.0,MN,12
93,D,6.0,MO,19
93,D,6.0,MS,1
93,D,6.0,MT,2
93,D,6.0,NC,12
93,D,6.0,NJ,34
93,D,6.0,NM,3
93,D,6.0,NY,88
93,D,6.0,OH,9
93,D,6.0,OK,1
93,D,6.0,OR,2
93,D,6.0,PA,21
93,D,6.0,RI,5
93,D,6.0,SC,6
93,D,6.0,SD,6
93,D,6.0,TN,1
93,D,6.0,TX,22
93,D,6.0,UT,1
93,D,6.0,VA,2
93,D,6.0,WA,10
93,D,6.0,WI,17
93,D,6.0,WV,1
93,D,7.0,AK,1
93,D,7.0,AL,3
93,D,7.0,AR,6
93,D,7.0,AZ,1
93,D,7.0,CA,46
93,D,7.0,CO,2
93,D,7.0,DE,2
93,D,7.0,FL,44
93,D,7.0,GA,8
93,D,7.0,HI,1
93,D,7.0,IA,6
93,D,7.0,IL,16
93,D,7.0,IN,5
93,D,7.0,KS,1
93,D,7.0,KY,5
93,D,7.0,LA,6
93,D,7.0,MA,47
93,D,7.0,MD,1
93,D,7.0,ME,11
93,D,7.0,MI,59
93,D,7.0,MN,13
93,D,7.0,MO,13
93,D,7.0,MS,4
93,D,7.0,MT,3
93,D,7.0,NC,4
93,D,7.0,NH,1
93,D,7.0,NJ,30
93,D,7.0,NM,1
93,D,7.0,NY,24
93,D,7.0,OH,8
93,D,7.0,OK,2
93,D,7.0,PA,6
93,D,7.0,RI,11
93,D,7.0,SC,4
93,D,7.0,SD,4
93,D,7.0,TN,5
93,D,7.0,TX,18
93,D,7.0,UT,4
93,D,7.0,VA,10
93,D,7.0,WA,20
93,D,7.0,WI,18
93,D,7.0,WV,15
93,D,7.0,WY,1
93,D,8.0,AK,5
93,D,8.0,AL,7
93,D,8.0,AR,3
93,D,8.0,AZ,12
93,D,8.0,CA,67
93,D,8.0,CO,6
93,D,8.0,CT,14
93,D,8.0,DE,3
93,D,8.0,FL,45
93,D,8.0,GA,12
93,D,8.0,HI,8
93,D,8.0,IA,2
93,D,8.0,IL,33
93,D,8.0,IN,11
93,D,8.0,KS,4
93,D,8.0,KY,15
93,D,8.0,LA,5
93,D,8.0,MA,48
93,D,8.0,MD,3
93,D,8.0,ME,6
93,D,8.0,MI,14
93,D,8.0,MN,30
93,D,8.0,MO,37
93,D,8.0,MS,4
93,D,8.0,MT,7
93,D,8.0,NC,4
93,D,8.0,NH,6
93,D,8.0,NJ,33
93,D,8.0,NM,6
93,D,8.0,NV,1
93,D,8.0,NY,62
93,D,8.0,OH,43
93,D,8.0,OK,4
93,D,8.0,OR,2
93,D,8.0,PA,31
93,D,8.0,RI,33
93,D,8.0,SC,4
93,D,8.0,SD,21
93,D,8.0,TN,9
93,D,8.0,TX,31
93,D,8.0,UT,14
93,D,8.0,VA,4
93,D,8.0,WA,82
93,D,8.0,WI,34
93,D,8.0,WV,34
93,D,8.0,WY,3
93,D,10.0,AK,7
93,D,10.0,AL,2
93,D,10.0,AR,10
93,D,10.0,CA,79
93,D,10.0,CO,2
93,D,10.0,CT,5
93,D,10.0,DE,2
93,D,10.0,FL,22
93,D,10.0,GA,13
93,D,10.0,HI,26
93,D,10.0,IA,7
93,D,10.0,ID,1
93,D,10.0,IL,24
93,D,10.0,IN,19
93,D,10.0,KS,6
93,D,10.0,KY,5
93,D,10.0,LA,18
93,D,10.0,MA,27
93,D,10.0,ME,11
93,D,10.0,MI,16
93,D,10.0,MN,28
93,D,10.0,MO,30
93,D,10.0,MS,10
93,D,10.0,MT,9
93,D,10.0,NC,3
93,D,10.0,ND,2
93,D,10.0,NJ,47
93,D,10.0,NM,3
93,D,10.0,NV,7
93,D,10.0,NY,80
93,D,10.0,OH,13
93,D,10.0,OK,3
93,D,10.0,OR,1
93,D,10.0,PA,35
93,D,10.0,RI,15
93,D,10.0,SC,4
93,D,10.0,SD,6
93,D,10.0,TX,30
93,D,10.0,UT,11
93,D,10.0,VA,7
93,D,10.0,WA,65
93,D,10.0,WI,9
93,D,10.0,WV,35
93,D,10.0,WY,5
93,D,12.0,AK,1
93,D,12.0,AL,4
93,D,12.0,AR,11
93,D,12.0,AZ,1
93,D,12.0,CA,55
93,D,12.0,CO,10
93,D,12.0,CT,4
93,D,12.0,FL,50
93,D,12.0,GA,28
93,D,12.0,HI,9
93,D,12.0,ID,2
93,D,12.0,IL,31
93,D,12.0,IN,18
93,D,12.0,KS,1
93,D,12.0,KY,7
93,D,12.0,LA,28
93,D,12.0,MA,17
93,D,12.0,MD,10
93,D,12.0,MI,24
93,D,12.0,MN,7
93,D,12.0,MO,22
93,D,12.0,MS,6
93,D,12.0,MT,6
93,D,12.0,NC,6
93,D,12.0,ND,15
93,D,12.0,NJ,105
93,D,12.0,NM,1
93,D,12.0,NV,2
93,D,12.0,NY,128
93,D,12.0,OH,19
93,D,12.0,OK,2
93,D,12.0,OR,2
93,D,12.0,PA,40
93,D,12.0,RI,6
93,D,12.0,SC,7
93,D,12.0,TN,8
93,D,12.0,TX,31
93,D,12.0,UT,7
93,D,12.0,VA,3
93,D,12.0,WA,15
93,D,12.0,WI,19
93,D,12.0,WV,10
93,D,12.0,WY,2
93,D,13.0,AK,4
93,D,13.0,AL,2
93,D,13.0,AR,7
93,D,13.0,CA,72
93,D,13.0,CT,12
93,D,13.0,FL,45
93,D,13.0,GA,16
93,D,13.0,HI,19
93,D,13.0,IA,7
93,D,13.0,ID,8
93,D,13.0,IL,16
93,D,13.0,IN,33
93,D,13.0,KS,1
93,D,13.0,KY,17
93,D,13.0,LA,12
93,D,13.0,MA,62
93,D,13.0,MD,5
93,D,13.0,ME,4
93,D,13.0,MI,24
93,D,13.0,MN,31
93,D,13.0,MO,13
93,D,13.0,MT,12
93,D,13.0,NC,5
93,D,13.0,NJ,64
93,D,13.0,NM,1
93,D,13.0,NY,166
93,D,13.0,OH,29
93,D,13.0,OK,3
93,D,13.0,OR,4
93,D,13.0,PA,29
93,D,13.0,RI,19
93,D,13.0,SC,6
93,D,13.0,SD,6
93,D,13.0,TN,5
93,D,13.0,TX,13
93,D,13.0,UT,3
93,D,13.0,VA,4
93,D,13.0,WA,7
93,D,13.0,WI,7
93,D,13.0,WV,13
93,D,14.0,AL,12
93,D,14.0,AR,3
93,D,14.0,CA,15
93,D,14.0,CO,5
93,D,14.0,DC,2
93,D,14.0,DE,2
93,D,14.0,FL,13
93,D,14.0,GA,11
93,D,14.0,GU,1
93,D,14.0,HI,3
93,D,14.0,IA,3
93,D,14.0,ID,2
93,D,14.0,IL,11
93,D,14.0,IN,5
93,D,14.0,KS,1
93,D,14.0,KY,2
93,D,14.0,LA,2
93,D,14.0,MA,16
93,D,14.0,MD,3
93,D,14.0,ME,2
93,D,14.0,MI,4
93,D,14.0,MN,12
93,D,14.0,MO,7
93,D,14.0,MS,1
93,D,14.0,NC,4
93,D,14.0,NH,1
93,D,14.0,NJ,18
93,D,14.0,NY,59
93,D,14.0,OH,17
93,D,14.0,OK,2
93,D,14.0,OR,1
93,D,14.0,PA,18
93,D,14.0,RI,11
93,D,14.0,SC,4
93,D,14.0,SD,5
93,D,14.0,TX,18
93,D,14.0,UT,3
93,D,14.0,WI,11
93,D,14.0,WV,3
93,D,15.0,AK,2
93,D,15.0,AL,24
93,D,15.0,AR,20
93,D,15.0,AZ,3
93,D,15.0,CA,106
93,D,15.0,CO,1
93,D,15.0,CT,16
93,D,15.0,DC,2
93,D,15.0,DE,2
93,D,15.0,FL,36
93,D,15.0,GA,29
93,D,15.0,HI,14
93,D,15.0,IA,7
93,D,15.0,IL,25
93,D,15.0,IN,13
93,D,15.0,KS,6
93,D,15.0,KY,6
93,D,15.0,LA,15
93,D,15.0,MA,22
93,D,15.0,MD,9
93,D,15.0,ME,14
93,D,15.0,MI,9
93,D,15.0,MN,24
93,D,15.0,MO,12
93,D,15.0,MS,6
93,D,15.0,MT,7
93,D,15.0,NC,6
93,D,15.0,ND,3
93,D,15.0,NH,5
93,D,15.0,NJ,78
93,D,15.0,NM,1
93,D,15.0,NV,4
93,D,15.0,NY,88
93,D,15.0,OH,17
93,D,15.0,OK,5
93,D,15.0,OR,3
93,D,15.0,PA,69
93,D,15.0,RI,22
93,D,15.0,SC,9
93,D,15.0,SD,6
93,D,15.0,TN,10
93,D,15.0,TX,44
93,D,15.0,UT,7
93,D,15.0,VA,3
93,D,15.0,WA,21
93,D,15.0,WI,36
93,D,15.0,WV,19
93,D,15.0,WY,2
93,D,16.0,AK,4
93,D,16.0,AL,17
93,D,16.0,AR,8
93,D,16.0,AZ,2
93,D,16.0,CA,90
93,D,16.0,CO,2
93,D,16.0,CT,12
93,D,16.0,DC,1
93,D,16.0,FL,76
93,D,16.0,GA,24
93,D,16.0,GU,2
93,D,16.0,HI,40
93,D,16.0,IA,9
93,D,16.0,ID,2
93,D,16.0,IL,23
93,D,16.0,IN,21
93,D,16.0,KS,3
93,D,16.0,KY,12
93,D,16.0,LA,42
93,D,16.0,MA,41
93,D,16.0,MD,14
93,D,16.0,ME,2
93,D,16.0,MI,10
93,D,16.0,MN,29
93,D,16.0,MO,11
93,D,16.0,MS,27
93,D,16.0,MT,5
93,D,16.0,NC,5
93,D,16.0,NH,1
93,D,16.0,NJ,58
93,D,16.0,NM,2
93,D,16.0,NV,2
93,D,16.0,NY,112
93,D,16.0,OH,15
93,D,16.0,OK,2
93,D,16.0,OR,3
93,D,16.0,PA,33
93,D,16.0,RI,24
93,D,16.0,SC,44
93,D,16.0,SD,11
93,D,16.0,TN,5
93,D,16.0,TX,68
93,D,16.0,UT,10
93,D,16.0,VA,7
93,D,16.0,WA,15
93,D,16.0,WI,17
93,D,16.0,WV,8
93,D,16.0,WY,4
93,D,17.0,AK,2
93,D,17.0,AL,4
93,D,17.0,AR,3
93,D,17.0,AZ,1
93,D,17.0,CA,27
93,D,17.0,CO,3
93,D,17.0,CT,3
93,D,17.0,FL,14
93,D,17.0,GA,10
93,D,17.0,HI,1
93,D,17.0,IA,1
93,D,17.0,IL,5
93,D,17.0,IN,6
93,D,17.0,KY,4
93,D,17.0,LA,2
93,D,17.0,MA,13
93,D,17.0,ME,2
93,D,17.0,MI,6
93,D,17.0,MN,4
93,D,17.0,MO,5
93,D,17.0,MS,1
93,D,17.0,MT,2
93,D,17.0,NC,5
93,D,17.0,ND,1
93,D,17.0,NJ,11
93,D,17.0,NV,1
93,D,17.0,NY,11
93,D,17.0,OH,2
93,D,17.0,OK,1
93,D,17.0,PA,17
93,D,17.0,RI,4
93,D,17.0,SC,5
93,D,17.0,SD,1
93,D,17.0,TN,1
93,D,17.0,TX,27
93,D,17.0,UT,11
93,D,17.0,VA,5
93,D,17.0,VI,1
93,D,17.0,WA,13
93,D,17.0,WI,4
93,D,17.0,WV,12
93,D,17.0,WY,1
93,D,18.0,AL,5
93,D,18.0,AR,21
93,D,18.0,CA,19
93,D,18.0,CT,4
93,D,18.0,FL,19
93,D,18.0,GA,8
93,D,18.0,HI,18
93,D,18.0,IA,11
93,D,18.0,ID,1
93,D,18.0,IL,12
93,D,18.0,IN,13
93,D,18.0,KY,2
93,D,18.0,LA,9
93,D,18.0,MA,17
93,D,18.0,MD,1
93,D,18.0,MI,9
93,D,18.0,MN,23
93,D,18.0,MO,4
93,D,18.0,MS,2
93,D,18.0,NC,2
93,D,18.0,NJ,21
93,D,18.0,NM,1
93,D,18.0,NY,14
93,D,18.0,OH,18
93,D,18.0,OR,8
93,D,18.0,PA,23
93,D,18.0,RI,7
93,D,18.0,SC,2
93,D,18.0,SD,1
93,D,18.0,TN,9
93,D,18.0,TX,6
93,D,18.0,VA,1
93,D,18.0,WA,4
93,D,18.0,WI,11
93,D,18.0,WV,7
93,D,18.0,WY,1
93,D,19.0,AK,2
93,D,19.0,AL,8
93,D,19.0,AR,27
93,D,19.0,CA,20
93,D,19.0,FL,11
93,D,19.0,GA,3
93,D,19.0,HI,5
93,D,19.0,IA,1
93,D,19.0,ID,2
93,D,19.0,IL,3
93,D,19.0,IN,2
93,D,19.0,LA,7
93,D,19.0,MA,21
93,D,19.0,ME,2
93,D,19.0,MI,8
93,D,19.0,MN,17
93,D,19.0,MO,11
93,D,19.0,MS,1
